id_emprestimo,id_usuario,id_livro,data_emprestimo,data_devolucao
134,53,1551,2025-10-26,2025-11-15
135,5874,4593,2026-01-04,2026-01-24
136,2053,134,2026-02-20,2026-03-03
137,8518,134,2025-06-19,2025-06-30
138,6036,4320,2026-03-14,
139,6786,257,2026-01-24,2026-02-11
140,9784,2908,2025-09-03,2025-09-18
141,5752,4000,2025-09-07,2025-09-20
142,8884,4629,2025-11-25,2025-12-09
143,4520,4841,2025-11-10,2025-11-27
144,7953,2371,2026-03-30,2026-04-28
145,8949,2052,2026-03-08,
146,2680,3311,2026-04-27,2026-05-14
147,1162,2346,2026-02-03,2026-03-02
148,8645,2587,2025-09-01,2025-09-27
149,9637,283,2025-11-12,2025-11-28
150,3946,986,2025-06-21,2025-07-01
151,2920,4305,2026-05-08,2026-05-11
152,4728,689,2025-12-13,
153,18,3979,2025-11-01,2025-11-17
154,1767,4178,2026-05-23,2026-05-25
155,2560,1646,2026-02-23,2026-03-01
156,5967,4616,2025-06-24,2025-07-12
157,3734,3895,2026-02-16,
158,6789,3164,2025-08-21,2025-09-18
159,9197,1025,2025-08-06,2025-08-14
160,2612,973,2026-02-03,
161,901,4320,2025-09-25,
162,6792,646,2025-07-23,2025-07-26
163,3551,4112,2026-02-02,2026-03-04
164,9658,2621,2026-05-15,2026-06-06
165,2905,4313,2025-12-20,2025-12-24
166,6820,2327,2025-06-21,
167,5509,1330,2026-01-13,2026-01-17
168,312,4812,2025-09-10,2025-09-30
169,1779,1899,2025-09-15,2025-09-17
170,3727,1448,2025-06-29,2025-07-24
171,7413,3419,2026-02-05,2026-02-08
172,8764,2658,2026-01-09,2026-02-01
173,4924,1136,2025-06-19,2025-07-18
174,5813,1941,2026-01-26,
175,589,3701,2025-07-27,2025-08-17
176,5931,3423,2026-01-03,2026-01-30
177,4988,561,2026-04-02,2026-04-15
178,5983,4962,2026-03-22,2026-03-29
179,1493,3679,2026-02-07,
180,1768,1546,2025-07-14,2025-08-01
181,8435,2167,2025-09-12,2025-10-10
182,8010,4264,2026-02-22,2026-03-04
183,9067,3436,2026-06-12,2026-06-14
184,2623,1449,2026-04-09,2026-04-30
185,3772,4849,2025-08-02,
186,1357,4879,2026-02-10,
187,147,339,2025-10-29,2025-11-11
188,4808,4030,2025-08-09,2025-09-01
189,8666,2580,2025-09-09,2025-10-01
190,1620,3371,2025-10-14,2025-10-17
191,1484,1924,2025-10-19,2025-10-27
192,387,3136,2025-09-10,
193,9769,3447,2025-11-19,2025-12-09
194,8412,368,2025-08-14,2025-08-31
195,3097,4861,2025-07-22,2025-07-29
196,4514,420,2025-10-17,2025-10-28
197,1019,619,2026-06-06,2026-06-09
198,9888,3873,2025-12-18,2025-12-23
199,7629,836,2025-09-16,2025-10-16
200,9591,2038,2025-09-24,2025-10-20
201,4300,4987,2025-11-18,2025-11-23
202,4981,3909,2025-09-17,2025-10-01
203,5805,2238,2026-01-22,2026-02-01
204,702,1932,2026-02-22,2026-03-18
205,2373,4046,2025-11-30,2025-12-03
206,234,3646,2026-03-25,2026-04-24
207,1681,3720,2026-01-15,2026-02-07
208,9416,2700,2025-09-21,2025-10-09
209,5216,1862,2026-06-11,2026-06-12
210,8599,1915,2025-08-23,
211,1606,385,2025-11-16,
212,4383,4501,2026-04-15,
213,5975,3740,2025-09-19,2025-10-10
214,8435,2753,2025-08-05,2025-08-12
215,6850,3805,2026-04-27,2026-05-11
216,1442,866,2026-02-23,2026-03-05
217,1152,2289,2026-05-22,
218,4828,3024,2025-08-14,2025-09-03
219,116,3113,2025-11-16,2025-12-15
220,8985,2349,2025-09-29,
221,4252,1578,2025-08-08,2025-08-28
222,6397,4320,2026-01-07,2026-01-09
223,4433,4780,2026-04-25,
224,6843,4465,2026-02-23,2026-02-25
225,2009,2777,2026-02-07,2026-02-11
226,3765,674,2026-02-22,2026-03-01
227,6589,4463,2025-08-24,2025-09-02
228,8731,339,2025-09-30,
229,6090,3605,2025-10-07,2025-10-16
230,8628,2399,2026-04-14,
231,4392,1449,2025-10-03,
232,6132,490,2026-04-21,2026-05-13
233,6847,4783,2025-08-31,
234,9993,599,2025-10-20,2025-10-30
235,7085,4672,2026-01-10,2026-02-06
236,883,4032,2026-01-24,
237,9662,2080,2026-02-07,2026-02-26
238,4393,661,2026-03-22,
239,2284,1148,2025-11-28,
240,1108,1017,2025-10-21,2025-10-24
241,5770,4198,2026-02-21,2026-03-14
242,1770,3371,2025-12-01,2025-12-21
243,3928,539,2026-04-24,
244,6295,2494,2025-06-30,2025-07-12
245,2299,2926,2025-07-28,2025-08-18
246,2668,163,2026-02-13,2026-03-01
247,516,2276,2025-08-05,2025-08-24
248,1625,4624,2026-03-23,2026-04-12
249,8182,3396,2025-07-07,
250,8311,3221,2026-06-03,2026-06-22
251,536,4320,2026-02-12,
252,7107,3715,2026-05-14,2026-06-07
253,7659,2944,2025-08-07,2025-08-28
254,8163,1246,2025-10-24,2025-10-28
255,5177,3644,2026-05-22,2026-06-17
256,101,4920,2026-04-29,2026-05-21
257,9008,4861,2026-04-02,2026-04-05
258,9114,970,2026-05-27,2026-06-13
259,2639,2431,2025-12-10,2025-12-17
260,3502,1589,2025-11-22,2025-12-20
261,4692,751,2026-03-15,2026-04-05
262,6659,3013,2026-02-15,2026-03-14
263,9309,3194,2025-11-09,2025-11-29
264,9393,979,2026-05-13,2026-06-04
265,7136,3078,2025-12-06,2026-01-01
266,9456,853,2025-12-24,2026-01-11
267,2599,108,2026-05-21,
268,3618,1819,2025-07-29,2025-08-13
269,8488,2386,2025-08-28,
270,2709,4313,2026-03-08,2026-03-26
271,7443,161,2025-10-29,2025-11-18
272,8442,2783,2025-09-30,2025-10-11
273,6745,2930,2026-03-10,
274,7878,681,2025-09-11,2025-09-19
275,9501,3297,2025-06-17,2025-07-08
276,593,2079,2026-02-27,2026-03-16
277,6101,4010,2025-08-28,2025-08-31
278,3515,17,2026-06-14,2026-07-14
279,6527,4844,2025-07-08,2025-07-24
280,7553,277,2026-05-21,2026-05-29
281,8659,2508,2025-11-30,
282,4426,3778,2026-05-19,2026-05-25
283,8389,3148,2026-06-14,2026-06-21
284,8866,347,2025-06-17,2025-06-19
285,4766,3222,2026-01-10,2026-01-13
286,6914,3957,2026-03-28,2026-04-09
287,2673,754,2026-03-05,2026-03-12
288,3736,3057,2025-07-08,2025-07-19
289,7346,3909,2026-01-15,2026-02-02
290,2642,2009,2025-07-19,2025-07-28
291,2810,750,2025-10-26,2025-11-04
292,3844,4587,2026-01-22,
293,3419,3242,2025-08-04,2025-08-08
294,9470,2431,2025-09-12,2025-10-11
295,7587,4389,2026-02-11,2026-03-13
296,468,3318,2025-07-02,2025-07-14
297,4389,626,2025-11-09,2025-12-09
298,8469,3473,2026-05-09,2026-05-17
299,2806,930,2026-06-14,2026-06-28
300,7438,3918,2026-03-14,
301,6962,590,2025-07-02,2025-07-20
302,5575,2098,2025-09-14,2025-09-24
303,7496,137,2025-12-16,2026-01-14
304,801,986,2025-11-07,2025-11-18
305,7647,2704,2025-07-15,2025-08-11
306,2386,3075,2025-06-30,
307,4202,920,2026-05-05,2026-05-18
308,5256,3785,2025-08-24,2025-08-25
309,5785,1845,2025-11-07,2025-12-05
310,8464,1173,2025-07-27,
311,7199,3374,2025-07-25,2025-08-07
312,5460,4929,2025-07-07,2025-08-01
313,9251,1448,2025-07-10,2025-07-30
314,3450,115,2026-04-21,
315,4033,859,2025-12-14,2026-01-13
316,147,468,2025-12-24,
317,6958,1030,2025-07-25,2025-08-21
318,3418,248,2026-02-15,2026-02-24
319,6179,2531,2025-10-24,2025-11-13
320,8471,97,2026-01-16,2026-01-26
321,6474,1405,2026-01-28,2026-02-05
322,1944,815,2026-03-04,2026-03-05
323,3935,4209,2026-05-10,
324,7040,369,2025-08-25,
325,5447,4466,2026-04-23,2026-05-10
326,438,2742,2025-08-10,2025-08-30
327,10347,493,2026-01-02,2026-01-04
328,492,4117,2025-11-16,2025-12-03
329,260,4688,2026-04-21,2026-05-02
330,7483,2964,2026-02-26,2026-03-09
331,1062,1203,2025-10-25,2025-11-08
332,272,1068,2025-10-20,
333,424,4689,2026-03-09,2026-03-18
334,7117,1250,2025-07-14,2025-08-07
335,56,3308,2026-03-28,2026-04-03
336,9610,3810,2025-12-11,2025-12-16
337,1127,1014,2026-03-19,
338,3820,3299,2025-09-02,2025-09-17
339,5526,3751,2025-12-09,2025-12-26
340,4270,3398,2026-03-10,2026-04-02
341,2128,2580,2025-09-18,2025-10-03
342,5499,4634,2025-08-15,2025-09-04
343,242,901,2026-01-05,2026-01-28
344,6429,554,2026-04-10,2026-04-15
345,8723,1347,2026-03-07,2026-04-01
346,8320,811,2025-07-08,2025-07-19
347,6244,2076,2025-10-16,2025-10-20
348,6060,3271,2025-09-09,2025-09-13
349,7637,1646,2026-01-25,2026-02-14
350,6246,4140,2026-01-01,2026-01-30
351,10204,2385,2025-06-15,2025-06-27
352,2325,765,2026-02-26,2026-03-15
353,3615,3445,2025-09-18,2025-10-02
354,7748,4418,2025-09-18,2025-10-07
355,6820,2045,2026-04-13,
356,6010,4311,2025-09-16,2025-10-12
357,9669,279,2025-07-13,2025-07-14
358,357,718,2025-08-13,2025-08-18
359,1418,1414,2025-08-08,2025-08-18
360,5198,412,2025-12-01,2025-12-19
361,6616,122,2025-08-24,2025-09-12
362,8850,3268,2025-12-19,2026-01-18
363,5597,622,2025-10-23,2025-10-31
364,4677,1291,2026-05-05,2026-05-31
365,1020,361,2026-06-05,2026-06-13
366,4386,227,2026-03-02,2026-03-12
367,8394,4962,2026-01-30,
368,5993,4804,2026-03-23,2026-04-10
369,6901,1551,2026-01-06,2026-01-21
370,1867,4755,2025-09-24,2025-10-14
371,129,921,2026-05-11,2026-05-29
372,4098,128,2025-11-25,2025-12-07
373,9088,2890,2025-11-06,
374,2619,3798,2025-09-30,2025-10-08
375,9030,3462,2025-07-31,2025-08-24
376,3802,3956,2025-07-16,2025-08-11
377,4113,1244,2025-09-08,2025-10-02
378,8559,637,2026-01-02,
379,1846,476,2026-04-03,2026-04-24
380,8367,2993,2025-07-04,2025-07-12
381,9724,4084,2025-11-29,2025-12-16
382,6848,1618,2025-07-14,2025-07-16
383,4757,3928,2026-05-27,2026-06-02
384,6249,17,2026-03-15,2026-04-06
385,5446,772,2026-04-23,2026-05-18
386,7672,3740,2025-08-13,2025-09-04
387,6664,3333,2025-07-09,2025-08-07
388,3922,3058,2025-09-04,2025-10-02
389,919,2586,2026-02-03,2026-02-05
390,1965,1136,2025-09-29,2025-10-06
391,1423,4750,2026-03-30,2026-04-04
392,5856,3138,2025-10-18,2025-10-29
393,7584,856,2026-03-14,2026-04-13
394,4257,3699,2025-12-09,2025-12-28
395,8645,1192,2025-09-23,2025-10-22
396,6100,1876,2026-05-20,2026-06-11
397,187,2206,2025-08-02,
398,5510,4187,2025-11-06,2025-11-07
399,5213,3001,2025-08-26,2025-09-04
400,2045,2860,2026-02-20,2026-02-25
401,873,1837,2025-09-27,2025-10-09
402,7326,4320,2026-01-05,2026-01-14
403,4146,4931,2025-11-06,2025-11-27
404,4312,1742,2025-11-24,2025-11-30
405,3904,3896,2025-10-07,2025-10-21
406,7178,2468,2026-04-06,2026-04-20
407,679,619,2025-09-14,2025-10-11
408,3850,4064,2026-04-16,2026-05-06
409,211,1546,2025-10-05,2025-10-26
410,8619,2673,2025-09-05,2025-09-15
411,9345,453,2026-04-27,2026-05-10
412,4291,795,2025-11-15,2025-12-13
413,9701,1855,2025-07-15,2025-08-06
414,7684,4629,2026-05-24,2026-06-16
415,4971,4634,2025-12-31,2026-01-20
416,881,4981,2026-06-04,2026-07-02
417,8303,1296,2026-02-10,2026-03-11
418,1510,2910,2026-02-23,2026-03-05
419,2290,1231,2025-06-30,
420,9150,16,2026-01-09,2026-01-25
421,8606,3777,2025-08-18,2025-08-19
422,9531,2355,2026-04-17,2026-04-22
423,9849,1009,2025-09-24,2025-10-16
424,1880,3817,2026-02-10,
425,7816,2021,2025-08-07,2025-09-05
426,9300,4360,2026-01-13,2026-01-20
427,7591,2608,2026-03-02,
428,5715,132,2025-11-09,
429,8145,3879,2026-01-15,2026-02-05
430,5562,3784,2025-11-18,2025-11-21
431,16,361,2026-05-19,2026-05-29
432,429,3514,2025-10-04,
433,3411,915,2025-08-26,2025-08-31
434,3203,4314,2026-01-09,2026-02-03
435,5840,3301,2025-09-11,2025-09-27
436,9730,1900,2025-08-28,2025-09-07
437,600,248,2025-10-28,2025-11-27
438,7501,3347,2026-06-12,2026-06-30
439,8885,3210,2025-06-23,2025-07-18
440,8375,2120,2026-04-10,
441,4185,595,2026-05-12,2026-05-17
442,2095,3527,2025-09-01,2025-09-29
443,8323,707,2025-08-28,2025-09-01
444,10187,2880,2025-08-20,2025-09-05
445,2190,4577,2025-10-13,2025-10-16
446,8674,2352,2025-12-11,2026-01-06
447,8700,4712,2026-02-24,2026-02-28
448,6346,4283,2025-08-19,2025-08-31
449,8037,2981,2026-02-05,
450,4200,2203,2026-03-09,2026-03-24
451,7293,128,2026-02-01,2026-02-11
452,9788,1414,2026-05-23,
453,7386,3925,2025-06-16,2025-07-11
454,7634,513,2025-11-17,2025-12-08
455,1611,4013,2026-05-18,2026-06-03
456,5398,3634,2025-09-21,2025-09-26
457,7143,4879,2025-11-29,
458,5725,3479,2025-09-03,2025-09-06
459,7026,1483,2026-01-17,2026-01-26
460,2714,1138,2026-02-03,2026-02-19
461,9408,1797,2026-02-13,2026-03-02
462,4688,1518,2026-04-23,2026-04-30
463,8683,139,2026-04-30,2026-05-07
464,89,1664,2026-04-07,2026-04-27
465,9434,1470,2026-06-02,2026-06-27
466,7819,4446,2025-08-07,2025-09-04
467,2566,418,2026-05-30,
468,8158,2215,2025-07-25,2025-08-03
469,9312,1549,2026-02-02,
470,1030,2052,2025-07-10,2025-07-19
471,6396,2604,2026-02-15,2026-02-28
472,574,3456,2025-10-18,2025-11-12
473,272,1244,2025-08-04,2025-08-06
474,2181,774,2026-03-13,2026-03-25
475,8819,3568,2026-04-11,2026-04-29
476,4508,3909,2025-06-16,2025-07-15
477,7348,2954,2025-07-17,2025-08-07
478,4203,1123,2025-09-02,2025-09-16
479,8531,4063,2026-02-17,2026-03-13
480,1128,4709,2026-06-12,2026-06-25
481,1394,489,2025-07-29,2025-08-20
482,4150,4621,2025-08-10,2025-09-09
483,6531,2985,2025-07-16,2025-08-01
484,4257,2096,2025-10-18,2025-10-26
485,3513,2949,2026-04-27,2026-05-23
486,752,972,2025-10-18,2025-11-11
487,4092,4862,2025-12-17,2025-12-25
488,2535,3178,2025-09-28,2025-10-16
489,7926,1911,2025-07-15,2025-08-09
490,938,1235,2026-01-28,2026-02-17
491,9649,266,2026-05-26,
492,1250,765,2025-12-23,
493,8467,797,2026-03-11,
494,8607,4082,2025-10-19,
495,2966,2547,2026-03-30,
496,5705,1236,2025-12-19,2025-12-30
497,2015,553,2025-10-04,2025-10-29
498,4603,4570,2026-06-13,2026-06-25
499,8423,744,2025-09-16,2025-09-25
500,6232,2267,2025-12-29,2025-12-31
501,4792,1022,2026-05-09,2026-06-03
502,6579,544,2025-09-02,2025-09-27
503,8236,351,2025-12-28,2026-01-06
504,2796,2604,2026-01-26,2026-02-05
505,4826,3079,2025-07-07,2025-07-16
506,8096,2226,2026-01-18,
507,9253,3730,2025-09-27,2025-10-25
508,9557,3471,2025-10-24,2025-10-31
509,4869,915,2026-02-13,2026-02-26
510,6923,3968,2026-01-24,2026-02-21
511,2475,482,2026-02-16,2026-03-12
512,9427,3297,2025-09-15,2025-09-21
513,601,1664,2025-12-06,2025-12-18
514,8778,4750,2025-09-02,2025-09-11
515,7016,4940,2025-09-06,
516,511,2945,2025-12-25,2026-01-21
517,8735,4952,2026-06-05,2026-07-02
518,6922,3058,2026-04-16,2026-04-29
519,4543,3523,2025-11-08,2025-11-30
520,7078,3861,2025-08-27,2025-09-08
521,2632,4399,2025-09-20,2025-10-13
522,1635,1134,2026-04-13,2026-04-19
523,7951,300,2026-04-15,
524,9349,502,2025-07-23,2025-08-03
525,7292,1911,2025-07-13,2025-08-08
526,3453,2231,2026-03-11,2026-04-02
527,639,892,2025-08-07,2025-08-23
528,1553,2598,2025-11-07,
529,7728,4742,2025-07-19,2025-07-20
530,3685,3896,2025-12-29,2026-01-22
531,8098,2531,2025-09-17,2025-10-06
532,8663,3233,2026-01-05,
533,4060,2681,2025-10-23,
534,8082,177,2026-05-06,2026-05-15
535,7322,1177,2026-02-05,2026-02-08
536,5982,4277,2026-04-03,2026-04-17
537,4216,1102,2026-01-19,
538,185,2881,2025-07-05,2025-08-02
539,1237,4574,2025-10-02,2025-10-10
540,449,3957,2025-10-16,2025-11-11
541,5492,2754,2025-06-29,2025-07-12
542,4650,3155,2026-04-07,2026-04-27
543,6505,3504,2025-09-02,2025-09-30
544,7095,1361,2026-06-10,2026-06-26
545,2691,3106,2026-03-19,2026-04-11
546,5638,4781,2025-12-25,
547,3730,4682,2026-04-16,
548,1772,2571,2025-08-31,2025-09-27
549,4695,3533,2025-08-02,
550,3819,3528,2026-01-30,2026-02-18
551,3736,1649,2025-12-29,2026-01-08
552,10254,2757,2025-12-06,2025-12-22
553,7987,2985,2025-06-26,2025-07-15
554,8620,301,2025-08-25,2025-08-26
555,9178,4926,2026-05-15,2026-06-04
556,3349,3589,2025-06-21,2025-07-20
557,6952,3658,2025-08-10,2025-08-25
558,7683,4630,2025-10-29,
559,3963,4451,2025-07-07,
560,7039,689,2026-01-15,2026-01-21
561,605,3307,2025-12-15,
562,2030,2452,2025-10-19,2025-10-29
563,3086,3113,2025-08-08,2025-08-21
564,310,4547,2026-06-01,2026-06-02
565,4048,4271,2025-09-23,
566,3329,1855,2025-06-18,2025-06-28
567,293,2287,2026-04-20,2026-05-08
568,2236,3272,2026-04-03,2026-04-11
569,2379,4072,2025-09-03,2025-09-25
570,249,163,2026-01-04,2026-01-14
571,2739,4277,2025-09-16,2025-10-01
572,2624,229,2025-08-30,2025-09-24
573,2388,1550,2025-07-10,2025-07-31
574,2867,1136,2025-11-22,2025-11-30
575,6501,3909,2026-05-23,2026-06-09
576,9585,4064,2026-01-03,2026-01-13
577,277,3628,2026-01-16,2026-02-13
578,1107,2988,2026-03-02,2026-03-14
579,3965,2788,2025-10-20,2025-10-28
580,9953,2165,2025-12-24,2026-01-05
581,9898,1079,2025-09-07,2025-10-01
582,5277,4587,2026-04-23,2026-05-03
583,7733,3777,2026-02-11,2026-02-23
584,3123,1209,2026-02-13,2026-02-26
585,5563,2734,2026-06-14,2026-07-12
586,4470,154,2026-04-03,2026-04-15
587,5006,2704,2025-08-24,2025-09-20
588,3376,2434,2026-04-07,2026-04-28
589,5484,2274,2025-06-22,2025-06-23
590,802,399,2026-04-18,2026-04-29
591,5020,4362,2026-02-13,2026-02-22
592,3645,2880,2025-09-27,2025-10-02
593,6605,4630,2026-02-24,2026-03-15
594,9109,4899,2025-06-21,
595,9139,3658,2025-08-04,
596,8270,4461,2025-11-25,2025-12-20
597,9827,1834,2026-05-08,2026-05-17
598,10375,3180,2026-03-08,2026-03-13
599,4212,4841,2026-05-29,2026-06-01
600,4677,535,2025-08-20,2025-08-30
601,9631,3512,2026-03-28,2026-03-31
602,7175,3644,2025-06-17,2025-06-20
603,5222,4037,2026-03-22,
604,4454,965,2026-05-14,2026-05-20
605,178,1905,2025-06-27,
606,9043,906,2026-03-07,2026-03-13
607,331,4861,2026-03-11,2026-03-18
608,9608,2052,2026-05-17,2026-05-24
609,4405,4032,2026-03-08,2026-03-12
610,151,4443,2026-02-10,
611,6958,2474,2026-05-02,
612,5754,1266,2025-11-20,2025-12-17
613,5816,4451,2025-07-04,2025-07-11
614,6822,2287,2026-05-18,2026-05-31
615,4308,72,2026-01-16,2026-01-24
616,7034,2849,2025-07-03,2025-07-05
617,6575,4781,2025-06-15,2025-07-06
618,5191,4760,2026-01-26,2026-02-23
619,533,2346,2025-09-25,2025-10-25
620,1124,1804,2025-11-21,
621,116,2284,2026-04-09,
622,386,2164,2025-10-26,2025-11-01
623,6654,1125,2026-04-29,2026-05-26
624,8948,790,2026-02-17,2026-02-21
625,4650,4462,2025-11-19,2025-11-28
626,6615,689,2025-09-09,2025-09-19
627,8952,3378,2025-11-11,2025-12-09
628,3424,3371,2026-05-09,2026-05-27
629,4854,1803,2025-06-26,
630,31,3460,2025-12-09,2025-12-27
631,4394,2221,2026-03-29,2026-04-17
632,6083,1646,2026-04-14,2026-05-12
633,624,2221,2025-12-05,2025-12-24
634,5090,4453,2025-07-23,
635,9430,2552,2025-12-04,
636,3026,549,2025-07-05,2025-07-16
637,2772,4178,2026-02-03,2026-03-04
638,3380,4175,2026-04-29,2026-05-06
639,3069,169,2025-10-10,2025-10-15
640,1977,1770,2025-11-04,2025-11-23
641,7460,4188,2025-10-13,2025-11-07
642,9878,3428,2025-09-03,2025-09-15
643,2714,1682,2026-04-04,2026-04-23
644,7871,1192,2025-09-17,
645,8715,3760,2025-07-06,2025-07-18
646,5124,1240,2025-06-20,2025-06-28
647,63,2399,2026-04-19,2026-04-27
648,147,3619,2026-05-07,2026-06-02
649,3744,986,2025-09-20,2025-10-09
650,5331,4441,2025-11-05,2025-11-19
651,8465,1008,2025-08-27,2025-09-11
652,6594,2294,2025-12-22,2026-01-14
653,2216,4441,2025-08-29,
654,2257,2259,2026-04-02,2026-04-29
655,7026,64,2025-09-03,
656,5656,3273,2025-08-08,2025-08-11
657,965,1791,2025-12-27,
658,6347,3607,2025-10-11,2025-10-12
659,1894,1100,2026-04-04,
660,9797,3110,2026-03-19,2026-04-06
661,8531,4084,2025-12-15,2025-12-19
662,9625,1421,2025-11-02,2025-11-20
663,1258,968,2025-08-06,2025-08-21
664,2472,1469,2026-03-07,2026-03-30
665,419,2789,2025-12-27,2026-01-06
666,8507,4935,2025-10-17,2025-10-31
667,8423,1215,2025-08-21,2025-08-27
668,928,765,2026-06-06,
669,5568,2965,2026-05-20,2026-06-17
670,5650,476,2026-01-20,
671,8655,2350,2025-11-15,
672,5617,173,2026-05-22,
673,1060,999,2026-05-09,2026-06-03
674,8229,2624,2026-02-04,2026-02-19
675,2150,384,2025-09-05,2025-10-05
676,2430,4037,2025-09-14,2025-10-11
677,5434,623,2025-08-01,2025-08-28
678,774,2161,2025-12-01,2025-12-04
