id_avaliacao,id_usuario,id_livro,nota,comentario,data_avaliacao
278,8137,4593,3,Memoria silencio dados leitura,2025-07-15
279,7876,4791,4,Memoria mundo sombra,2025-10-17
280,5255,1003,2,Sombra cidade,2025-10-31
281,8034,271,4,Sonho vento silencio,2025-08-30
282,6186,3061,5,Tempo fogo,2025-10-26
283,1582,4645,4,Vento luz,2025-08-24
284,2464,1196,4,Vento fogo mundo,2026-04-22
285,1499,4654,3,Mundo tempo dados,2025-10-10
286,5414,4145,5,Memoria mundo luz,2026-05-23
287,7098,49,5,Dados memoria,2025-07-12
288,2159,1731,3,Mar memoria,2025-09-10
289,431,412,3,Mar luz cidade,2026-01-06
290,6991,2379,3,Silencio sombra fogo,2026-03-07
291,6387,1877,4,Sombra dados fogo mundo,2025-11-22
292,4981,4162,4,Leitura mundo sombra,2025-06-21
293,1482,391,4,Luz historia,2025-12-12
294,944,3893,5,Mundo dados,2025-12-16
295,5178,1265,2,Silencio tempo cidade cidade,2025-09-22
296,9658,4948,2,Fogo mar memoria leitura,2025-08-20
297,4428,3640,4,Sonho leitura silencio,2026-06-05
298,7127,271,4,Cidade mundo cidade,2026-06-05
299,6422,1546,5,Historia vento,2026-05-29
300,2666,4931,3,Sombra historia dados dados,2026-02-06
301,7487,4742,6,Dados cidade sombra luz,2025-07-07
302,1870,287,5,Tempo luz vento tempo,2026-03-15
303,8052,1819,2,Leitura historia silencio memoria,2025-06-24
304,1602,4417,4,Cidade mundo sombra,2025-06-15
305,2239,363,4,Mundo vento leitura sonho,2025-11-26
306,6883,2994,4,Historia vento sonho silencio,2025-10-08
307,3865,2826,2,Memoria memoria silencio,2026-01-21
308,3441,185,2,Leitura sonho fogo,2026-03-31
309,6511,1391,5,Vento leitura mundo sombra,2025-07-24
310,7797,337,5,Sombra mundo,2025-11-26
311,9637,122,3,Vento fogo fogo,2026-01-10
312,679,2941,5,Sonho luz memoria,2025-12-25
313,7264,2292,5,Dados dados cidade,2026-05-01
314,2260,3101,3,Vento sonho luz cidade,2025-10-19
315,9129,1018,5,Vento dados vento leitura,2026-04-07
316,2320,4222,5,Leitura cidade,2025-06-15
317,7121,4920,4,Tempo memoria mar,2026-05-06
318,7859,444,2,Memoria leitura historia mundo,2025-07-18
319,4579,853,2,Historia dados fogo,2025-09-10
320,4774,3239,3,Memoria historia tempo cidade,2025-11-29
321,4895,1770,4,Historia fogo historia sonho,2025-09-27
322,5146,2040,2,Cidade cidade,2026-03-26
323,7199,2369,3,Luz sombra luz,2025-08-28
324,1876,4085,3,Tempo mar fogo,2026-04-07
325,6831,365,1,Leitura tempo silencio,2025-08-24
326,3549,2407,5,Vento sombra tempo,2025-10-22
327,9216,3854,4,Mundo mar mundo vento,2025-09-22
328,3439,577,4,Luz silencio mar mar,2026-02-01
329,9660,4718,4,Tempo sonho,2025-12-11
330,6284,3243,3,Tempo silencio,2025-08-08
331,3404,3285,3,Cidade silencio historia,2025-11-19
332,534,763,3,Memoria sonho silencio,2026-04-04
333,2944,1218,5,Cidade mundo,2026-01-28
334,2845,2531,2,Vento vento cidade leitura,2026-05-07
335,1007,1911,4,Cidade sonho sonho,2025-07-20
336,7424,4351,1,Dados fogo silencio sonho,2025-08-01
337,478,3664,3,Fogo sonho,2025-10-14
338,5940,3101,4,Luz tempo,2026-02-27
339,7384,3640,4,Mundo cidade mar leitura,2026-03-27
340,234,3686,3,Memoria mar mar cidade,2026-01-17
341,5526,4791,4,Cidade fogo,2025-09-07
342,7311,4835,5,Mundo sombra tempo memoria,2025-12-13
343,1510,4841,3,Sonho sombra luz,2025-08-29
344,8806,235,5,Cidade vento tempo silencio,2025-11-17
345,5583,1040,4,Silencio historia,2026-05-04
346,9930,2245,3,Vento dados,2025-06-30
347,1458,3878,4,Leitura historia,2025-10-22
348,163,4354,2,Leitura cidade historia,2026-05-05
349,1281,2876,2,Vento leitura,2025-06-20
350,1580,4507,2,Sombra fogo memoria,2025-06-25
351,5711,363,5,Memoria mar sonho tempo,2026-06-04
352,6710,4449,2,Cidade mundo leitura,2026-03-14
353,2635,3998,2,Mar luz historia,2026-04-21
354,2308,2656,4,Memoria mundo,2025-06-15
355,2199,4067,4,Silencio cidade,2025-10-04
356,3067,3296,3,Dados vento mundo cidade,2026-03-28
357,9985,4519,3,Silencio historia,2026-02-08
358,7188,131,5,Sombra vento sombra dados,2026-01-11
359,8011,2629,4,Cidade historia,2026-06-08
360,7431,4745,2,Luz tempo sombra sombra,2025-07-21
361,5030,1465,4,Leitura memoria luz sonho,2025-12-19
362,5044,4683,4,Dados luz vento,2026-03-26
363,8068,428,4,Sombra fogo,2026-04-01
364,9548,3387,2,Dados tempo sombra,2026-02-21
365,9528,3378,1,Fogo sombra dados,2026-04-23
366,8583,1102,4,Mundo sonho fogo,2025-07-24
367,5994,559,3,Mundo tempo memoria fogo,2026-05-07
368,5707,4096,4,Fogo tempo mundo sombra,2026-02-24
369,4571,873,5,Mundo mundo,2025-08-26
370,904,1609,4,Vento leitura,2026-02-17
371,8838,1659,3,Silencio dados sonho,2025-11-25
372,6986,3734,2,Cidade fogo,2025-07-19
373,5791,3360,2,Sonho leitura dados mar,2025-09-09
374,5737,2600,4,Cidade fogo,2026-04-25
375,4097,2507,2,Mundo dados vento,2025-12-19
376,5680,3331,4,Dados dados luz historia,2026-01-28
377,4844,4365,4,Sonho mundo,2026-02-19
378,8480,4505,4,Tempo luz historia cidade,2025-12-18
379,1276,2256,3,Sombra vento historia,2026-01-20
380,217,55,3,Dados sombra sonho sonho,2025-10-02
381,6506,1098,3,Silencio memoria tempo,2025-06-28
382,779,4209,3,Mundo tempo dados,2025-10-06
383,7468,4861,3,Fogo historia mundo,2025-07-08
384,6751,689,3,Memoria memoria mar mundo,2026-03-28
385,2817,211,3,Vento luz tempo historia,2025-09-30
386,3054,2139,4,Cidade mar fogo,2025-08-29
387,3915,171,4,Sonho fogo fogo,2025-09-12
388,6514,108,5,Historia memoria mundo historia,2025-12-28
389,2619,1120,2,Mar historia,2025-10-24
390,8947,3113,3,Tempo cidade,2025-07-03
391,2139,1624,5,Sombra luz tempo,2026-03-30
392,3748,2285,3,Tempo cidade memoria mar,2025-12-01
393,8273,3205,5,Silencio historia,2026-01-21
394,1177,1042,1,Luz memoria historia,2026-04-29
395,4254,3879,3,Dados silencio cidade,2025-07-25
396,4688,3386,5,Fogo vento vento mundo,2025-10-11
397,100,1458,3,Mundo sonho,2026-03-23
398,859,2094,6,Silencio vento vento dados,2026-02-26
399,3282,1247,2,Mar fogo sombra,2025-06-30
400,4363,4096,5,Fogo sonho fogo,2025-09-10
401,4073,62,4,Tempo luz,2026-05-30
402,293,2371,2,Silencio mundo leitura fogo,2026-05-19
403,6771,897,3,Silencio vento,2026-01-24
404,6583,428,5,Silencio cidade fogo sombra,2026-03-21
405,893,3327,2,Silencio memoria,2025-12-05
406,2608,2306,2,Cidade silencio fogo,2025-07-06
407,4464,1121,4,Leitura sombra,2025-11-29
408,2392,1596,3,Mar sonho,2025-11-15
409,3130,4921,3,Leitura historia luz,2025-11-05
410,4730,4849,3,Fogo vento sonho cidade,2025-07-07
411,5625,1633,4,Mundo mundo tempo,2026-05-12
412,9507,4527,4,Memoria mundo leitura,2025-11-05
413,3113,3333,4,Fogo leitura historia memoria,2025-10-27
414,6077,1491,1,Tempo sonho,2026-03-24
415,6091,4148,5,Silencio fogo cidade mar,2025-07-29
416,9506,4241,3,Historia luz leitura luz,2026-05-07
417,5000,4742,4,Memoria vento silencio,2025-11-19
418,7887,4209,2,Cidade memoria historia cidade,2025-07-19
419,1222,4283,4,Tempo historia leitura vento,2025-07-03
420,8375,2922,2,Tempo leitura tempo,2026-05-11
421,4440,3484,2,Silencio dados mar,2026-05-14
422,6699,1526,4,Leitura mundo fogo,2025-07-11
423,8378,1465,4,Mundo sonho vento,2026-03-23
424,1299,538,4,Sonho mundo,2025-10-09
425,5984,1295,4,Silencio sonho vento mar,2026-05-08
426,7778,60,4,Tempo historia luz,2026-01-11
427,2486,3327,3,Tempo mar mar sonho,2025-12-24
428,8865,1377,5,Mar sonho dados sombra,2025-07-20
429,3925,4341,5,Silencio leitura,2026-04-21
430,9931,2548,4,Mar mar,2025-11-19
431,8555,3325,2,Memoria sonho vento silencio,2025-10-03
432,986,2964,4,Historia memoria,2025-07-13
433,1733,186,5,Historia memoria,2025-07-30
434,7611,287,3,Cidade cidade vento dados,2026-04-23
435,5461,985,2,Fogo cidade mundo,2026-01-27
436,570,3694,4,Luz luz fogo silencio,2025-08-29
437,5028,3478,2,Luz mar,2026-01-23
438,2195,4143,5,Dados dados,2025-08-29
439,5396,3871,5,Memoria mundo mar,2025-10-20
440,7426,3009,4,Leitura silencio memoria,2025-12-26
441,2093,2287,3,Sonho historia vento luz,2026-04-24
442,3051,4325,4,Tempo historia vento,2025-09-11
443,6169,2289,4,Fogo historia silencio sonho,2026-06-11
444,7902,4999,7,Memoria luz leitura,2025-11-10
445,3381,4629,3,Mar vento,2025-07-21
446,5110,4962,4,Dados memoria historia,2025-07-13
447,7811,927,2,Mundo cidade tempo,2025-11-25
448,7502,932,3,Leitura silencio dados,2025-09-23
449,5076,4122,5,Luz luz cidade,2026-02-19
450,4931,1102,3,Sombra sonho mundo vento,2025-12-06
451,1525,3721,4,Dados mundo mundo,2025-08-15
452,8592,1167,4,Fogo dados silencio,2026-04-07
453,5717,3989,4,Fogo tempo,2026-04-15
454,7767,1383,4,Mar memoria leitura,2025-11-08
455,7256,2937,2,Vento leitura tempo,2025-10-28
456,4698,2629,4,Memoria tempo,2026-05-18
457,4368,2094,4,Dados leitura,2025-11-21
458,1976,4584,3,Mundo leitura memoria,2025-08-25
459,6307,1244,4,Historia cidade,2025-12-05
460,3469,3373,4,Vento cidade mar,2026-05-20
461,4999,3265,4,Historia memoria silencio cidade,2025-06-23
462,3825,3820,2,Dados leitura,2025-12-05
463,1030,4559,4,Mundo tempo,2026-05-18
464,518,3835,3,Luz sombra dados,2025-10-12
465,1496,3839,4,Memoria sonho memoria vento,2025-08-11
466,3675,4221,3,Leitura silencio,2026-01-27
467,3352,3644,5,Dados dados tempo,2025-12-02
468,394,4920,4,Leitura cidade silencio mar,2026-04-01
469,2537,4533,4,Cidade vento,2026-05-18
470,5345,1754,5,Silencio sombra sonho,2025-08-29
471,3084,1945,4,Silencio vento,2025-07-13
472,9986,3975,4,Dados historia cidade,2025-10-28
473,7597,1715,3,Luz sombra dados vento,2026-04-09
474,6102,1241,2,Mundo cidade sombra sombra,2025-08-19
475,1484,3694,3,Sonho silencio vento,2025-10-13
476,818,2535,4,Historia memoria,2025-10-30
477,2986,2531,3,Vento tempo leitura historia,2025-06-25
478,6245,161,5,Luz silencio silencio,2026-05-05
479,1930,2195,3,Memoria leitura,2025-08-12
480,4426,3439,4,Tempo mar silencio,2026-05-07
481,3167,4047,2,Dados dados,2026-03-16
482,9385,1458,4,Dados vento mundo,2026-01-14
483,6859,2041,3,Mundo mar dados,2026-01-12
484,3000,1095,4,Tempo sombra tempo fogo,2026-04-16
485,992,2528,4,Mundo sombra sombra,2026-02-01
486,5011,2345,4,Sonho fogo mundo,2025-07-08
487,7944,4709,4,Mar mar,2026-02-25
488,4757,36,4,Tempo tempo dados,2025-08-28
489,1889,4188,2,Mundo fogo,2026-02-05
490,8252,4866,3,Luz fogo memoria mundo,2025-12-11
491,959,479,3,Sombra fogo mar sonho,2025-12-31
492,3298,1225,2,Fogo cidade historia,2025-08-24
493,2740,4654,4,Memoria historia,2025-12-17
494,7035,4640,4,Luz mundo luz leitura,2026-02-16
495,3196,1546,5,Memoria memoria mundo,2026-05-10
496,72,4679,4,Mar sonho vento,2026-04-14
497,1729,780,3,Luz mundo fogo cidade,2025-11-21
498,3373,1055,3,Tempo memoria memoria mar,2026-03-02
499,3832,723,4,Cidade fogo,2026-01-26
500,5215,4096,4,Mundo mundo mundo memoria,2025-07-29
501,4624,3032,4,Sonho cidade tempo mar,2026-03-31
502,698,274,4,Mundo vento historia vento,2025-12-24
503,8604,122,3,Sombra memoria fogo,2025-10-16
504,5762,2371,3,Mundo silencio,2026-06-07
505,9947,3039,4,Fogo sonho,2026-04-19
506,8197,4637,2,Luz dados mar mundo,2026-01-23
507,683,2818,3,Tempo leitura cidade sonho,2025-08-18
508,7823,397,3,Tempo sonho mar,2026-03-15
509,937,4616,2,Fogo cidade,2025-10-03
510,2878,2304,3,Sombra fogo sombra vento,2025-09-15
511,2737,4189,4,Sonho leitura,2025-11-06
512,318,2873,7,Leitura mundo,2025-11-23
513,5893,627,3,Cidade sonho,2026-05-10
514,6615,1448,4,Historia dados,2026-06-10
515,6627,4277,2,Memoria mundo sonho,2026-03-13
516,6398,1392,3,Sonho dados mundo historia,2025-07-05
517,9045,263,3,Cidade mar memoria,2026-02-28
518,2285,1844,3,Mundo tempo,2026-02-25
519,4146,1458,2,Silencio tempo,2025-07-23
520,6321,1899,4,Sonho luz,2025-07-03
521,1347,4230,4,Cidade memoria sonho,2025-09-19
522,8355,2346,3,Fogo leitura mundo,2026-02-24
